0000                                    	1-GENERAL                               	PRUEBA                                  	                                        	                                        	           0,01	           0,00
732465358371                            	27-BLAZER / CHAQUETAS                   	SUETER BLANCO CIERRE MONOGRAMA          	IVY-BLANCO                              	S                                       	         112,07	           0,00	P5ME6CNY
732465358388                            	27-BLAZER / CHAQUETAS                   	SUETER BLANCO CIERRE MONOGRAMA          	IVY-BLANCO                              	XS                                      	         112,07	           0,00	P5ME6CNY
732465358401                            	27-BLAZER / CHAQUETAS                   	SUETER NEGRO CIERRE MONOGRAMA           	BLK-NEGRO                               	L                                       	         112,07	           0,00	P5ME6CNY
732465358418                            	27-BLAZER / CHAQUETAS                   	SUETER NEGRO CIERRE MONOGRAMA           	BLK-NEGRO                               	M                                       	         112,07	           0,00	P5ME6CNY
732465358425                            	27-BLAZER / CHAQUETAS                   	SUETER NEGRO CIERRE MONOGRAMA           	BLK-NEGRO                               	S                                       	         112,07	           0,00	P5ME6CNY
732465358432                            	27-BLAZER / CHAQUETAS                   	SUETER NEGRO CIERRE MONOGRAMA           	BLK-NEGRO                               	XS                                      	         112,07	           0,00	P5ME6CNY
732465369711                            	20-CARTERAS                             	CAPRY BANDOLERO ARENA  T/- CAP-MARRON   	CAP-MARRON                              	-                                       	         206,90	           0,00	R52EAL01
732465369797                            	20-CARTERAS                             	CARTERA ROSADA T/- JGW-ROSADA           	JGW-ROSADA                              	-                                       	         318,97	           0,00	R52DAK44
732465369803                            	20-CARTERAS                             	BANDOLERO T/- CAP-MARRON                	CAP-MARRON                              	-                                       	         318,97	         125,00	R52DAK44
732465388644                            	23-PANTALONES / JOGGER                  	JEANS NEGRO WIDE LEG  T/28 I8D-NEGRO PLO	I8D-NEGRO PLOMO                         	28                                      	         112,07	           0,00	DJ5G4072
732465388651                            	23-PANTALONES / JOGGER                  	JEANS AZUL MARINO                       	LXT-AZUL MARINO                         	28                                      	         112,07	           0,00	DJ5G4072
732465388767                            	23-PANTALONES / JOGGER                  	JEANS-AZUL                              	JEE-AZUL                                	28                                      	         112,07	           0,00	DJ5M4062
732465391279                            	22-T-SHIRT / TOPS                       	T-SHIRT BLANCA ESTAMPADO PECHO T/XL WHT-	WHT-BLANCO                              	XL                                      	          77,59	           0,00	P5RH3WNA
732465391286                            	22-T-SHIRT / TOPS                       	T-SHIRT NEGRA ESTAMPADO PERIODICO T/XL B	BLK-NEGRO                               	XL                                      	          77,59	          30,17	P5RH3WNA
732465394300                            	22-T-SHIRT / TOPS                       	T-SHIRT NEGRA ESTAMPADO PERIODICO T/L BL	BLK-NEGRO                               	L                                       	          77,59	          30,17	P5RH3WNA
732465394317                            	22-T-SHIRT / TOPS                       	T-SHIRT NEGRA ESTAMPADO PERIODICO T/M BL	BLK-NEGRO                               	M                                       	          77,59	          30,17	P5RH3WNA
00004721                                	26/01/2026	           1,00	          30,00
732465394324                            	22-T-SHIRT / TOPS                       	T-SHIRT NEGRA ESTAMPADO PERIODICO T/S BL	BLK-NEGRO                               	S                                       	          77,59	          30,17	P5RH3WNA
732465394331                            	22-T-SHIRT / TOPS                       	T-SHIRT NEGRA ESTAMPADO PERIODICO T/XS B	BLK-NEGRO                               	XS                                      	          77,59	          30,17	P5RH3WNA
732465394348                            	22-T-SHIRT / TOPS                       	T-SHIRT BLANCA ESTAMPADO PECHO T/L WHT-B	WHT-BLANCO                              	L                                       	          77,59	           0,00	P5RH3WNA
732465394355                            	22-T-SHIRT / TOPS                       	T-SHIRT BLANCA ESTAMPADO PECHO T/M WHT-B	WHT-BLANCO                              	M                                       	          77,59	           0,00	P5RH3WNA
00004692                                	15/01/2026	           1,00	           0,00
732465394362                            	22-T-SHIRT / TOPS                       	T-SHIRT BLANCA ESTAMPADO PECHO T/S WHT-B	WHT-BLANCO                              	S                                       	          77,59	           0,00	P5RH3WNA
732465394379                            	22-T-SHIRT / TOPS                       	T-SHIRT BLANCA ESTAMPADO PECHO T/XS WHT-	WHT-BLANCO                              	XS                                      	          77,59	           0,00	P5RH3WNA
00004690                                	14/01/2026	           1,00	          20,00
732465394713                            	21-CAMISAS / BLUSAS                     	CAMISA MGL BEIGE T/L N56-BEIGE          	N56-BEIGE                               	L                                       	         120,69	           0,00	DJ4W2017
732465394720                            	21-CAMISAS / BLUSAS                     	CAMISA MGL BEIGE T/M N56-BEIGE          	N56-BEIGE                               	M                                       	         120,69	           0,00	DJ4W2017
00004719                                	24/01/2026	           1,00	          30,00
732465394737                            	21-CAMISAS / BLUSAS                     	CAMISA MGL BEIGE T/S N56-BEIGE          	N56-BEIGE                               	S                                       	         120,69	           0,00	DJ4W2017
732465394744                            	21-CAMISAS / BLUSAS                     	CAMISA MGL BEIGE T/XS N56-BEIGE         	N56-BEIGE                               	XS                                      	         120,69	           0,00	DJ4W2017
732465398605                            	27-BLAZER / CHAQUETAS                   	SUETER NEGRO ESTRELLAS                  	BLK-NEGRO                               	L                                       	          99,14	           0,00	DP5T1111
00004715                                	24/01/2026	           1,00	          30,00
732465398612                            	27-BLAZER / CHAQUETAS                   	SUETER NEGRO ESTRELLAS                  	BLK-NEGRO                               	M                                       	          99,14	           0,00	DP5T1111
732465398629                            	27-BLAZER / CHAQUETAS                   	SUETER NEGRO ESTRELLAS                  	BLK-NEGRO                               	S                                       	          99,14	           0,00	DP5T1111
732465398636                            	27-BLAZER / CHAQUETAS                   	SUETER NEGRO ESTRELLAS                  	BLK-NEGRO                               	XS                                      	          99,14	           0,00	DP5T1111
732465399497                            	27-BLAZER / CHAQUETAS                   	BLAZER NEGRO PUFFER                     	BLK-NEGRO                               	L                                       	         185,34	           0,00	DJ5J6146
732465399503                            	27-BLAZER / CHAQUETAS                   	BLAZER NEGRO PUFFER                     	BLK-NEGRO                               	M                                       	         185,34	           0,00	DJ5J6146
732465399510                            	27-BLAZER / CHAQUETAS                   	BLAZER NEGRO PUFFER                     	BLK-NEGRO                               	S                                       	         185,34	           0,00	DJ5J6146
732465399527                            	27-BLAZER / CHAQUETAS                   	BLAZER NEGRO PUFFER                     	BLK-NEGRO                               	XS                                      	         185,34	           0,00	DJ5J6146
732465399824                            	20-CARTERAS                             	CARTERA FUCSIA T/- JGW-FUCSIA           	JGW-FUCSIA                              	-                                       	         206,90	           0,00	R42BAE49
732465405761                            	24-VESTIDOS                             	VESTIDO LARGO BERENGENA                 	2EQ-MARRON                              	L                                       	         185,34	           0,00	DJ5D9151
732465405778                            	24-VESTIDOS                             	VESTIDO LARGO BERENGENA                 	2EQ-MARRON                              	M                                       	         185,34	           0,00	DJ5D9151
732465405785                            	24-VESTIDOS                             	VESTIDO LARGO BERENGENA                 	2EQ-MARRON                              	S                                       	         185,34	           0,00	DJ5D9151
00004686                                	10/01/2026	           1,00	           0,00
732465405792                            	24-VESTIDOS                             	VESTIDO LARGO BERENGENA                 	2EQ-MARRON                              	XS                                      	         185,34	           0,00	DJ5D9151
732465417108                            	19-ZAPATOS                              	VIERRA ZAPATILLA GRI PLOMO T/9 NICKEL-BL	NICKEL-BLACK                            	9                                       	         150,86	           0,00	K3505020
732465421327                            	20-CARTERAS                             	BANDOLERO MARRON T/- CAP-MARRON         	CAP-MARRON                              	-                                       	         206,90	           0,00	R445AH95
732465421891                            	20-CARTERAS                             	ETTA BANDOLERA BEIGE                    	LT3-BEIGE                               	-                                       	         168,10	           0,00	R445AH95
732465421952                            	20-CARTERAS                             	CAPRY BANDOLERO NEGRO T/- BSV-NEGRO     	BSV-NEGRO                               	-                                       	         206,90	           0,00	R52EAL01
732465422096                            	20-CARTERAS                             	BRYAR CARTERA MOKKA PAÑOLETA T/- CAP-MAR	CAP-MARRON                              	-                                       	         370,69	           0,00	R52DQK43
732465422454                            	20-CARTERAS                             	PAULA CARTERA CREMA XXL  T/- LT3-PAULA  	LT3-PAULA                               	-                                       	         293,10	           0,00	R42BAE48
732465422843                            	20-CARTERAS                             	CARTERA NEGRA T/- BSV-NEGRO             	BSV-NEGRO                               	-                                       	         318,97	           0,00	R52DAK44
732465425905                            	20-CARTERAS                             	TINSLEY CARTERA VERDE                   	KJ5-VERDE                               	-                                       	         206,90	           0,00	R52DZK21
732465425936                            	20-CARTERAS                             	PAULA CARTERA CAMEL XXL T/- CAP-MARRON  	CAP-MARRON                              	-                                       	         293,10	           0,00	R52BME48
732465426001                            	20-CARTERAS                             	HADLLE DS CARTERA NEGRA T/- BSV-NEGRO   	BSV-NEGRO                               	-                                       	         262,93	           0,00	R52AZK56
732465426025                            	20-CARTERAS                             	CARTERA NEGRA T/- BSV-NEGRO             	BSV-NEGRO                               	-                                       	         241,38	           0,00	R52EZK57
732465426032                            	20-CARTERAS                             	CARTERA MARRON T/- CAP-MARRON           	CAP-MARRON                              	-                                       	         241,38	           0,00	R52EZK57
732465426216                            	20-CARTERAS                             	CAPRI CARTERA NEGRA                     	BSV-NEGRA                               	-                                       	         228,45	          90,52	R52BAK68
732465426230                            	20-CARTERAS                             	CARTERA NEGRA T/- BSV-NEGRO             	BSV-NEGRO                               	-                                       	         318,97	         125,00	R52DQK43
732465426247                            	20-CARTERAS                             	BRYAR CARTERA BLANCA PAÑOLETA  T/- MMW-B	MMW-BLANCA                              	-                                       	         370,69	           0,00	R52DQK43
732465426261                            	20-CARTERAS                             	TINSLEY CARTERA NEGRA T/- BSV-NEGRO     	BSV-NEGRO                               	-                                       	         228,45	           0,00	R52DZK21
732465426315                            	20-CARTERAS                             	HADDLE CARTERA ANIMAL PRINT PEQ T/- LEO-	LEO-LEO                                 	-                                       	         176,72	           0,00	R52ALC80
732465426322                            	20-CARTERAS                             	HADDLE CARTERA ANIMAL PRINT GRND T/- LEO	LEO-LEO                                 	-                                       	         228,45	           0,00	R52ALR57
732465426377                            	20-CARTERAS                             	CARTERA GRIS T/- LT3-GRIS               	LT3-GRIS                                	-                                       	         318,97	           0,00	R51DYJ07
732465436437                            	19-ZAPATOS                              	CARLEY MARY JANE NEGRO  T/5.5 BLACK-NEGR	BLACK-NEGRO                             	5.5                                     	         168,10	           0,00	K3511584
732465441349                            	25-LEGGINS / BIKER / SHORTS             	BERMUDA AZUL T/32 OED-AZUL              	OED-AZUL                                	32                                      	          94,83	           0,00	DJ5S8053
732465441356                            	25-LEGGINS / BIKER / SHORTS             	BERMUDA AZUL T/31 OED-AZUL              	OED-AZUL                                	31                                      	          94,83	           0,00	DJ5S8053
732465441363                            	25-LEGGINS / BIKER / SHORTS             	BERMUDA AZUL T/30 OED-AZUL              	OED-AZUL                                	30                                      	          94,83	           0,00	DJ5S8053
732465441370                            	25-LEGGINS / BIKER / SHORTS             	BERMUDA AZUL T/29 OED-AZUL              	OED-AZUL                                	29                                      	          94,83	           0,00	DJ5S8053
732465441387                            	25-LEGGINS / BIKER / SHORTS             	BERMUDA AZUL T/28 OED-AZUL              	OED-AZUL                                	28                                      	          94,83	           0,00	DJ5S8053
732465441394                            	25-LEGGINS / BIKER / SHORTS             	BERMUDA AZUL T/27 OED-AZUL              	OED-AZUL                                	27                                      	          94,83	           0,00	DJ5S8053
732465441400                            	25-LEGGINS / BIKER / SHORTS             	BERMUDA AZUL T/26 OED-AZUL              	OED-AZUL                                	26                                      	          94,83	           0,00	DJ5S8053
732465441783                            	26-FALDAS                               	FALDA NEGRA FLECOS BRILLOS              	BLA-NEGRO                               	14                                      	         133,62	           0,00	P53N6C59
732465441790                            	26-FALDAS                               	FALDA NEGRA FLECOS BRILLOS              	BLA-NEGRO                               	12                                      	         133,62	           0,00	P53N6C59
732465441806                            	26-FALDAS                               	FALDA NEGRA FLECOS BRILLOS              	BLA-NEGRO                               	10                                      	         133,62	           0,00	P53N6C59
732465441813                            	26-FALDAS                               	FALDA NEGRA FLECOS BRILLOS              	BLA-NEGRO                               	8                                       	         133,62	           0,00	P53N6C59
732465441820                            	26-FALDAS                               	FALDA NEGRA FLECOS BRILLOS              	BLA-NEGRO                               	6                                       	         133,62	           0,00	P53N6C59
732465441837                            	27-BLAZER / CHAQUETAS                   	FALDA NEGRA FLECOS BRILLOS              	BLA-NEGRO                               	4                                       	         133,62	           0,00	P53N6C59
732465442414                            	27-BLAZER / CHAQUETAS                   	CHAQUETA JEANS GRIS PARCHES             	XUX-GRIS                                	L                                       	         250,00	           0,00	P5GCYC72
732465442421                            	27-BLAZER / CHAQUETAS                   	CHAQUETA JEANS GRIS PARCHES             	XUX-GRIS                                	M                                       	         250,00	           0,00	P5GCYC72
732465442438                            	27-BLAZER / CHAQUETAS                   	CHAQUETA JEANS GRIS PARCHES             	XUX-GRIS                                	S                                       	         250,00	           0,00	P5GCYC72
732465442445                            	27-BLAZER / CHAQUETAS                   	CHAQUETA JEANS GRIS PARCHES             	XUX-GRIS                                	XS                                      	         250,00	           0,00	P5GCYC72
732465442940                            	24-VESTIDOS                             	FALDA NEGRA TEJIDA  T/XL BLK-NEGRO      	BLK-NEGRO                               	XL                                      	         133,62	           0,00	P5GRAX62
732465442957                            	24-VESTIDOS                             	FALDA NEGRA TEJIDA  T/L BLK-NEGRO       	BLK-NEGRO                               	L                                       	         133,62	           0,00	P5GRAX62
732465442964                            	24-VESTIDOS                             	FALDA NEGRA TEJIDA  T/M BLK-NEGRO       	BLK-NEGRO                               	M                                       	         133,62	           0,00	P5GRAX62
732465442971                            	24-VESTIDOS                             	FALDA NEGRA TEJIDA  T/S BLK-NEGRO       	BLK-NEGRO                               	S                                       	         133,62	           0,00	P5GRAX62
732465442988                            	24-VESTIDOS                             	FALDA NEGRA TEJIDA  T/XS BLK-NEGRO      	BLK-NEGRO                               	XS                                      	         133,62	           0,00	P5GRAX62
732465463983                            	19-ZAPATOS                              	NASHBOOK TACON CREMA HEBILLA  T/9.5 COCO	COCONUT-BEIGE                           	9.5                                     	         168,10	           0,00	K3544717
732465464492                            	19-ZAPATOS                              	TOVELLA MOCASIN TACON  T/5.5 BLACK-NEGRO	BLACK-NEGRO                             	5.5                                     	         168,10	           0,00	K3547113
732465464737                            	19-ZAPATOS                              	CLEMMA ZAPATILLA NEGRA T/5.5 BLACK-NEGRO	BLACK-NEGRO                             	5.5                                     	         168,10	           0,00	K3590639
732465464836                            	19-ZAPATOS                              	NASHBOOK TACON CREMA HEBILLA  T/8.5 COCO	COCONUT-BEIGE                           	8.5                                     	         168,10	           0,00	K3544717
732465464843                            	19-ZAPATOS                              	NASHBOOK TACON CREMA HEBILLA  T/7.5 COCO	COCONUT-BEIGE                           	7.5                                     	         168,10	           0,00	K3544717
732465464850                            	19-ZAPATOS                              	NASHBOOK TACON CREMA HEBILLA  T/6.5 COCO	COCONUT-BEIGE                           	6.5                                     	         168,10	           0,00	K3544717
732465464867                            	19-ZAPATOS                              	NASHBOOK TACON CREMA HEBILLA  T/5.5 COCO	COCONUT-BEIGE                           	5.5                                     	         168,10	           0,00	K3544717
732465465253                            	19-ZAPATOS                              	ZANIRA ZAPATO NEGRO T/7 BLACK-NEGRO     	BLACK-NEGRO                             	7                                       	         206,90	           0,00	K3500022
732465465482                            	19-ZAPATOS                              	CLEMMA ZAPATILLA NEGRA T/9.5 BLACK-NEGRO	BLACK-NEGRO                             	9.5                                     	         168,10	           0,00	K3590639
732465465499                            	19-ZAPATOS                              	CLEMMA ZAPATILLA NEGRA T/8.5 BLACK-NEGRO	BLACK-NEGRO                             	8.5                                     	         168,10	           0,00	K3590639
732465465505                            	19-ZAPATOS                              	CLEMMA ZAPATILLA NEGRA T/7.5 BLACK-NEGRO	BLACK-NEGRO                             	7.5                                     	         168,10	           0,00	K3590639
732465465512                            	19-ZAPATOS                              	CLEMMA ZAPATILLA NEGRA T/6.5 BLACK-NEGRO	BLACK-NEGRO                             	6.5                                     	         168,10	           0,00	K3590639
732465465727                            	19-ZAPATOS                              	TOVELLA MOCASIN TACON  T/8.5 BLACK-NEGRO	BLACK-NEGRO                             	8.5                                     	         168,10	           0,00	K3547113
732465465734                            	19-ZAPATOS                              	TOVELLA MOCASIN TACON  T/7.5 BLACK-NEGRO	BLACK-NEGRO                             	7.5                                     	         168,10	           0,00	K3547113
732465465741                            	19-ZAPATOS                              	TOVELLA MOCASIN TACON  T/6.5 BLACK-NEGRO	BLACK-NEGRO                             	6.5                                     	         168,10	           0,00	K3547113
732465466113                            	19-ZAPATOS                              	CARLEY MARY JANE NEGRO  T/8.5 BLACK-NEGR	BLACK-NEGRO                             	8.5                                     	         168,10	           0,00	K3511584
732465466120                            	19-ZAPATOS                              	CARLEY MARY JANE NEGRO  T/7.5 BLACK-NEGR	BLACK-NEGRO                             	7.5                                     	         168,10	           0,00	K3511584
732465466137                            	19-ZAPATOS                              	CARLEY MARY JANE NEGRO  T/6.5 BLACK-NEGR	BLACK-NEGRO                             	6.5                                     	         168,10	           0,00	K3511584
732465466359                            	19-ZAPATOS                              	ZANIRA ZAPATO NEGRO T/9 BLACK-NEGRO     	BLACK-NEGRO                             	9                                       	         206,90	           0,00	K3500022
732465466366                            	19-ZAPATOS                              	ZANIRA ZAPATO NEGRO T/8.5 BLACK-NEGRO   	BLACK-NEGRO                             	8.5                                     	         206,90	           0,00	K3500022
732465466373                            	19-ZAPATOS                              	ZANIRA ZAPATO NEGRO T/8 BLACK-NEGRO     	BLACK-NEGRO                             	8                                       	         206,90	           0,00	K3500022
732465466380                            	19-ZAPATOS                              	ZANIRA ZAPATO NEGRO T/7.5 BLACK-NEGRO   	BLACK-NEGRO                             	7.5                                     	         206,90	           0,00	K3500022
732465466397                            	19-ZAPATOS                              	ZANIRA ZAPATO NEGRO T/6.5 BLACK-NEGRO   	BLACK-NEGRO                             	6.5                                     	         206,90	           0,00	K3500022
732465466403                            	19-ZAPATOS                              	ZANIRA ZAPATO NEGRO T/6 BLACK-NEGRO     	BLACK-NEGRO                             	6                                       	         206,90	           0,00	K3500022
732465466410                            	19-ZAPATOS                              	ZANIRA ZAPATO NEGRO T/10 BLACK-NEGRO    	BLACK-NEGRO                             	10                                      	         206,90	           0,00	K3500022
732465466564                            	19-ZAPATOS                              	NATRONA TACON NEGRO PATENTE  T/8.5 BLACK	BLACK-NEGRO                             	8.5                                     	         168,10	           0,00	K3569029
732465466571                            	19-ZAPATOS                              	NATRONA TACON NEGRO PATENTE  T/7.5 BLACK	BLACK-NEGRO                             	7.5                                     	         168,10	           0,00	K3569029
732465466588                            	19-ZAPATOS                              	NATRONA TACON NEGRO PATENTE  T/6.5 BLACK	BLACK-NEGRO                             	6.5                                     	         168,10	           0,00	K3569029
732465469220                            	19-ZAPATOS                              	CLEMMA ZAPATILLA NEGRA T/9 BLACK-NEGRO  	BLACK-NEGRO                             	9                                       	         168,10	           0,00	K3590639
732465469237                            	19-ZAPATOS                              	CLEMMA ZAPATILLA NEGRA T/8 BLACK-NEGRO  	BLACK-NEGRO                             	8                                       	         168,10	           0,00	K3590639
732465469244                            	19-ZAPATOS                              	CLEMMA ZAPATILLA NEGRA T/7 BLACK-NEGRO  	BLACK-NEGRO                             	7                                       	         168,10	           0,00	K3590639
00004727                                	30/01/2026	           1,00	          30,00
732465469251                            	19-ZAPATOS                              	CLEMMA ZAPATILLA NEGRA T/6 BLACK-NEGRO  	BLACK-NEGRO                             	6                                       	         168,10	           0,00	K3590639
732465469282                            	19-ZAPATOS                              	CLEMMA ZAPATILLA NEGRA T/10 BLACK-NEGRO 	BLACK-NEGRO                             	10                                      	         168,10	           0,00	K3590639
732465469503                            	19-ZAPATOS                              	NATRONA TACON NEGRO PATENTE  T/9 BLACK-N	BLACK-NEGRO                             	9                                       	         168,10	           0,00	K3569029
732465469510                            	19-ZAPATOS                              	NATRONA TACON NEGRO PATENTE  T/8 BLACK-N	BLACK-NEGRO                             	8                                       	         168,10	           0,00	K3569029
00004725                                	29/01/2026	           1,00	          30,00
732465469527                            	19-ZAPATOS                              	NATRONA TACON NEGRO PATENTE  T/7 BLACK-N	BLACK-NEGRO                             	7                                       	         168,10	           0,00	K3569029
732465469534                            	19-ZAPATOS                              	NATRONA TACON NEGRO PATENTE  T/6 BLACK-N	BLACK-NEGRO                             	6                                       	         168,10	           0,00	K3569029
732465469541                            	19-ZAPATOS                              	NATRONA TACON NEGRO PATENTE  T/5 BLACK-N	BLACK-NEGRO                             	5                                       	         168,10	           0,00	K3569029
00004698                                	17/01/2026	           1,00	          30,00
732465469923                            	19-ZAPATOS                              	TOVELLA MOCASIN TACON  T/9 BLACK-NEGRO  	BLACK-NEGRO                             	9                                       	         168,10	           0,00	K3547113
732465469930                            	19-ZAPATOS                              	TOVELLA MOCASIN TACON  T/8 BLACK-NEGRO  	BLACK-NEGRO                             	8                                       	         168,10	           0,00	K3547113
732465469947                            	19-ZAPATOS                              	TOVELLA MOCASIN TACON  T/7 BLACK-NEGRO  	BLACK-NEGRO                             	7                                       	         168,10	           0,00	K3547113
732465469954                            	19-ZAPATOS                              	TOVELLA MOCASIN TACON  T/6 BLACK-NEGRO  	BLACK-NEGRO                             	6                                       	         168,10	           0,00	K3547113
732465469961                            	19-ZAPATOS                              	TOVELLA MOCASIN TACON  T/5 BLACK-NEGRO  	BLACK-NEGRO                             	5                                       	         168,10	           0,00	K3547113
732465469992                            	19-ZAPATOS                              	NASHBOOK TACON CREMA HEBILLA  T/9 COCONU	COCONUT-BEIGE                           	9                                       	         168,10	           0,00	K3544717
732465470004                            	19-ZAPATOS                              	NASHBOOK TACON CREMA HEBILLA  T/8 COCONU	COCONUT-BEIGE                           	8                                       	         168,10	           0,00	K3544717
00004725                                	29/01/2026	           1,00	          30,00
732465470011                            	19-ZAPATOS                              	NASHBOOK TACON CREMA HEBILLA  T/7 COCONU	COCONUT-BEIGE                           	7                                       	         168,10	           0,00	K3544717
732465470028                            	19-ZAPATOS                              	NASHBOOK TACON CREMA HEBILLA  T/6 COCONU	COCONUT-BEIGE                           	6                                       	         168,10	           0,00	K3544717
732465470059                            	19-ZAPATOS                              	NASHBOOK TACON CREMA HEBILLA  T/10 COCON	COCONUT-BEIGE                           	10                                      	         168,10	           0,00	K3544718
732465470905                            	19-ZAPATOS                              	CARLEY MARY JANE NEGRO  T/9 BLACK-NEGRO 	BLACK-NEGRO                             	9                                       	         168,10	           0,00	K3511584
732465470912                            	19-ZAPATOS                              	CARLEY MARY JANE NEGRO  T/8 BLACK-NEGRO 	BLACK-NEGRO                             	8                                       	         168,10	           0,00	K3511584
732465470929                            	19-ZAPATOS                              	CARLEY MARY JANE NEGRO  T/7 BLACK-NEGRO 	BLACK-NEGRO                             	7                                       	         168,10	           0,00	K3511584
732465470936                            	19-ZAPATOS                              	CARLEY MARY JANE NEGRO  T/6 BLACK-NEGRO 	BLACK-NEGRO                             	6                                       	         168,10	           0,00	K3511584
732465470943                            	19-ZAPATOS                              	CARLEY MARY JANE NEGRO  T/5 BLACK-NEGRO 	BLACK-NEGRO                             	5                                       	         168,10	           0,00	K3511584
732465476808                            	27-BLAZER / CHAQUETAS                   	SUETER CREMATEJIDO RAYAS  T/XL A9Z-MARRO	A9Z-MARRON                              	XL                                      	          94,83	           0,00	DJ5R0717
732465476815                            	27-BLAZER / CHAQUETAS                   	SUETER CREMATEJIDO RAYAS  T/L A9Z-MARRON	A9Z-MARRON                              	L                                       	          94,83	           0,00	DJ5R0717
732465476839                            	27-BLAZER / CHAQUETAS                   	SUETER CREMATEJIDO RAYAS  T/S A9Z-MARRON	A9Z-MARRON                              	S                                       	          94,83	           0,00	DJ5R0717
732465476846                            	27-BLAZER / CHAQUETAS                   	SUETER CREMATEJIDO RAYAS  T/XS A9Z-MARRO	A9Z-MARRON                              	XS                                      	          94,83	           0,00	DJ5R0717
732465508844                            	21-CAMISAS / BLUSAS                     	CAMISA MGL CREMA TEXTURA T/XL EN2-BEIGE 	EN2-BEIGE                               	XL                                      	          94,83	           0,00	DJ5T1385
732465508851                            	21-CAMISAS / BLUSAS                     	CAMISA MGL CREMA TEXTURA T/L EN2-BEIGE  	EN2-BEIGE                               	L                                       	          94,83	           0,00	DJ5T1385
732465508868                            	21-CAMISAS / BLUSAS                     	CAMISA MGL CREMA TEXTURA T/S EN2-BEIGE  	EN2-BEIGE                               	S                                       	          94,83	           0,00	DJ5T1385
732465508875                            	21-CAMISAS / BLUSAS                     	CAMISA MGL CREMA TEXTURA T/XS EN2-BEIGE 	EN2-BEIGE                               	XS                                      	          94,83	           0,00	DJ5T1385
732465512872                            	22-T-SHIRT / TOPS                       	T-SHIRT VERDE BOLSILLO TEJIDO  T/XL NEJ-	NEJ-VERDE                               	XL                                      	          77,59	           0,00	P5DHUWMP
732465512889                            	22-T-SHIRT / TOPS                       	T-SHIRT VERDE BOLSILLO TEJIDO  T/L NEJ-V	NEJ-VERDE                               	L                                       	          77,59	           0,00	P5DHUWMP
732465512896                            	22-T-SHIRT / TOPS                       	T-SHIRT VERDE BOLSILLO TEJIDO  T/M NEJ-V	NEJ-VERDE                               	M                                       	          77,59	           0,00	P5DHUWMP
732465512902                            	22-T-SHIRT / TOPS                       	T-SHIRT VERDE BOLSILLO TEJIDO  T/S NEJ-V	NEJ-VERDE                               	S                                       	          77,59	           0,00	P5DHUWMP
732465512919                            	22-T-SHIRT / TOPS                       	T-SHIRT VERDE BOLSILLO TEJIDO  T/XS NEJ-	NEJ-VERDE                               	XS                                      	          77,59	           0,00	P5DHUWMP
732465514685                            	21-CAMISAS / BLUSAS                     	CAMISA RALLA BLANCO T/XL 2Z1-BLSNCO     	2Z1-BLSNCO                              	XL                                      	         120,69	           0,00	DJ5T1397
732465514692                            	21-CAMISAS / BLUSAS                     	CAMISA RALLA BLANCO T/L 2Z1-BLSNCO      	2Z1-BLSNCO                              	L                                       	          94,83	           0,00	DJ5T1397
732465514708                            	21-CAMISAS / BLUSAS                     	CAMISA RALLA BLANCO T/S 2Z1-BLSNCO      	2Z1-BLSNCO                              	S                                       	          94,83	           0,00	DJ5T1397
732465514715                            	21-CAMISAS / BLUSAS                     	CAMISA RALLA BLANCO T/XS 2Z1-BLSNCO     	2Z1-BLSNCO                              	XS                                      	          94,83	           0,00	DJ5T1397
00004700                                	18/01/2026	           1,00	           0,00
732465514869                            	22-T-SHIRT / TOPS                       	T-SHIRT NEGRO T/L M8G-NEGRA             	M8G-NEGRA                               	L                                       	          64,66	           0,00	DP5T1364
732465514876                            	22-T-SHIRT / TOPS                       	T-SHIRT NEGRO T/M M8G-NEGRA             	M8G-NEGRA                               	M                                       	          64,66	           0,00	DP5T1364
732465514883                            	22-T-SHIRT / TOPS                       	T-SHIRT NEGRO T/S M8G-NEGRA             	M8G-NEGRA                               	S                                       	          64,66	           0,00	DP5T1364
732465514890                            	22-T-SHIRT / TOPS                       	T-SHIRT NEGRO T/XS M8G-NEGRA            	M8G-NEGRA                               	XS                                      	          64,66	           0,00	DP5T1364
00004690                                	14/01/2026	           1,00	          20,00
732465515019                            	24-VESTIDOS                             	VESTIDO BLANCO TENNIS  T/L WHB-BLANCA   	WHB-BLANCA                              	L                                       	         142,24	           0,00	DP5D4904
732465515026                            	24-VESTIDOS                             	VESTIDO BLANCO TENNIS  T/M WHB-BLANCA   	WHB-BLANCA                              	M                                       	         142,24	           0,00	DP5D4904
732465515033                            	24-VESTIDOS                             	VESTIDO BLANCO TENNIS  T/S WHB-BLANCA   	WHB-BLANCA                              	S                                       	         142,24	           0,00	DP5D4904
732465515040                            	24-VESTIDOS                             	VESTIDO BLANCO TENNIS  T/XS WHB-BLANCA  	WHB-BLANCA                              	XS                                      	         142,24	           0,00	DP5D4904
732465515088                            	24-VESTIDOS                             	BRAGA NEGRA TIRANTES  T/12 BLK-NEGRO    	BLK-NEGRO                               	12                                      	         228,45	           0,00	DD5N1K75
732465515095                            	24-VESTIDOS                             	BRAGA NEGRA TIRANTES  T/10 BLK-NEGRO    	BLK-NEGRO                               	10                                      	         228,45	           0,00	DD5N1K75
